,deu,nds
75,Ich habe mehr als einen Monat lang in Nagoya gelebt.,Ik heff mehr as een Maand in Nagoya leevt.
76,"Es ist überhaupt nicht selten, länger als neunzig Jahre zu leben.","Dat is goor nich raar, länger as negentig Jahr to leven."
77,"Oh, meine weiße Hose! Sie war neu.","Oh, mien witte Büx! De weer nee."
78,Du bist ein Engel!,Du büst en Engel!
79,"Du hast Glück gehabt, dass er dich nicht gebissen hat.","Du hest Glück hatt, dat he di nich beten hett."
80,Hast du mich vermisst?,Hest du mi misst?
81,Hast du mich vermisst?,Hest du mi vermisst?
82,Sind sie alle gleich?,Sünn de all egaal?
83,Vielen Dank!,Besten Dank!
84,Das ist eine gute Idee!,Dat is ’n gode Infall!
85,Donnerwetter! Das ist nicht schlecht!,Donnerslach! Dat is nich slecht!
86,"Man sagt, Liebe mache blind.","Warrt seggt, de Leevd maakt blind."
87,"Oh, tut mir leid.","Oh, dat deit mi leed."
88,Wie lange braucht man bis zum Bahnhof?,Wo lang bruukt een bet na ’n Bahnhoff?
89,Sprichst du Italienisch?,Snackst du Italieensch?
90,Könnte ich eine Frage stellen?,Dröff ik en Fraag stellen?
91,Darf ich eine Frage stellen?,Dröff ik en Fraag stellen?
92,Das hätte ich nie gedacht.,Dat harr ik nie dacht.
93,Das ist ziemlich unerwartet.,Dat is temlich unverwacht.
94,Ich kann ohne Fernsehen nicht leben.,Ik kann ahn Feernsehn nich leven.
95,Ich habe einen Traum.,Ik heff en Droom.
96,"Du bist an meiner Seite, jetzt ist alles gut.","Du büst an mien Sied, nu is allens goot."
97,Ich heiße Jack.,Ik heet Jack.
98,Es gefällt mir sehr gut.,Dat gefallt mi temlich goot.
99,Sehen wir uns morgen?,Seht wi uns morgen?
100,"Danke, das ist alles.","Wees bedankt, dat is allens."
101,"Vielen Dank, das ist alles.","Wees bedankt, dat is allens."
102,Wie viel Uhr ist es?,Wat seggt de Klock?
103,Was sagt die Uhr?,Wat seggt de Klock?
104,Es ist nicht meine Schuld!,Dat is nich mien Schuld!
105,Ich möchte eine Nacht bleiben.,Ik will een Nacht blieven.
106,Wo sind die Duschen?,Woneem sünd de Duuschen?
107,Lass mich in Ruhe!,Laat mi tofreden!
108,Heute ist es sehr heiß.,Vondaag is dat temlich heet.
109,Es ist niemand gekommen.,Is nüms kamen.
110,Er hat sein Wort gebrochen.,He hett sien Verspreken braken.
111,Was wäre die Welt ohne Frauen?,Wat weer de Welt ahn Froonslüüd?
112,Und was werden wir machen?,Un wat schöölt wi doon?
113,Ich habe Kopfweh.,Ik heff Koppwehdaag.
114,Ich habe Kopfschmerzen.,Ik heff Koppwehdaag.
115,Mein Kopf tut weh.,Ik heff Koppwehdaag.
116,Wie geht's dir? Hattest du eine gute Reise?,Wo geiht di dat? Harrst du en gode Reis?
117,Wie geht es dir? Hattest du eine gute Reise?,Wo geiht di dat? Harrst du en gode Reis?
118,Das ist zu teuer!,Dat is to düer!
119,Das ist ein totales Schlamassel und es geht mir auf die Nerven.,Dat is en kumpleet Kuddelmuddel un dat geiht mi op de Nerven.
120,Ich möchte in Paris studieren.,Ik will in Paris studeren.
121,"Ihr wisst nicht, wer ich bin.","Ji weet nich, ’keen ik bün."
122,Warum isst du kein Gemüse?,Worüm ittst du keen Grööntüüg?
123,Das Auto fuhr gegen die Mauer.,Dat Auto föhr gegen de Muer.
124,Rom ist nicht an einem Tage erbaut worden.,Room is nich an een Dag boot worrn.
125,Rom wurde nicht an einem Tag erbaut.,Room is nich an een Dag boot worrn.
126,Ich verstehe kein Deutsch.,Ik verstah keen Düütsch.
127,"Es gibt 10 Arten von Menschen in der Welt: die, die das Binärsystem verstehen, und die, die es nicht verstehen.","Dat gifft 10 Soorten Lüüd op de Welt: de, de dat Binärsysteem verstaht un de, de dat nich doot."
128,Die Ferien sind jetzt vorbei.,De Feern sünd vörbi.
129,Das ist die reine Wahrheit.,Dat is de rein Wohrheid.
130,Es ist kalt.,Dat is koolt.
131,Du hast Recht.,Du hest recht.
132,Du bist mein Typ.,Du büst mien Typ.
133,Mit wem spreche ich?,’Keen snack ik mit?
134,Das Leben ist schön.,Dat Leven is mooi.
135,"Hey, schau' mal, ein Affe mit drei Köpfen!","Hey, kiek dar, en Aap mit dree Köpp!"
137,In der Theorie gibt es keinen Unterschied zwischen Theorie und Praxis. Aber in der Praxis gibt es einen.,In ’e Theorie gifft dat keen Ünnerscheed twischen Theorie un Praxis. Aver in ’e Praxis gifft dat een.
138,"Alles, was zu dumm ist, um gesagt zu werden, wird gesungen.","Allens, wat to dumm to ’n Seggen is, warrt sungen."
139,Es regnet.,Dat regent.
140,"Wenn zwei Menschen immer die gleiche Meinung haben, ist einer von ihnen überflüssig.","Wenn twee Minschen ümmer dat sülve Verscheel hebbt, denn is dar een bi över."
141,Zu spät.,To laat.
142,Hallo? Bist du noch da?,Hallo? Büst du noch dar?
143,Heute Morgen habe ich ferngesehen.,Vonmorgen heff ik Feernsehn keken.
144,Deine Brille ist auf den Boden gefallen.,Dien Brill is an ’e Eerd fullen.
145,Ich brauche mehr Zeit.,Ik bruuk mehr Tied.
146,Hast du ihn in der Universität getroffen?,Hest du em in ’e Universität drapen?
147,Ich habe von dir geträumt.,Ik heff vun di dröömt.
148,"Ich glaube, ich werde niesen... Gib mir ein Taschentuch.","Ik lööv, ik mutt pruuschen... Geev mi en Snuuvdook."
149,Du hattest eine Menge Zeit.,Du harrst en masse Tied.
150,Es ist nie zu spät zum Lernen.,Een is nienich to oolt to Lehren.
151,Man ist niemals zu alt zum Lernen.,Een is nienich to oolt to Lehren.
152,Es ist nie zu spät zum Lernen.,Nüms is to oolt to ’n Lehren.
153,Niemand ist zu alt zum Lernen.,Nüms is to oolt to ’n Lehren.
154,Ich mag die Schule nicht.,Ik mag de School nich.
155,Aus welchem Land kommst du?,Ut wat för en Land kummst du?
156,Ich habe viel von dir gelernt.,Ik heff veel vun di lehrt.
157,Er schläft wie ein Baby.,He slöppt as en Baby.
158,"Ich kann meine Handflächen auf den Boden setzen, ohne meine Knie zu beugen.","Ik kann mien Hannen op ’n Bodden leggen, ahn mien Knee to bögen."
159,"Jeder würde gerne glauben, dass Träume wahr werden können.","Jedereen will geern glöven, dat Droom wohr warrn köönt."
160,Die Welt dreht sich nicht um dich.,De Welt dreiht sik nich üm di.
161,Ein Kaninchen hat lange Ohren und einen kurzen Schwanz.,En Kankel hett lang Ohren un en korten Steert.
162,"Ich kann es gar nicht erwarten, in den Urlaub zu fahren.","Ik kann dat gornich aftöven, in de Feern to föhren."
163,"Eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn.","Een, twee, dree, veer, fief, söss, söven, acht, negen, teihn."
164,"Eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn.","Een, twee, dree, veer, fief, söss, söven, acht, negen, teihn."
165,Wo ist die Toilette?,Woneem is de Toilett?
166,Die Temperatur des menschlichen Körpers bewegt sich um 37 °C.,De Temperatur vun ’n minslichen Lief liggt üm de 37 °C.
167,Wieso können wir uns nicht selber kitzeln?,Worüm köönt wi uns nich sülvens ketteln?
168,Hast du schon einen Bart?,Hest du al en Boort?
169,Wo bist du?,Woneem büst du?
170,Das ist eine Sackgasse.,Dat is en Sackstraat.
171,"Wenn du mir das Tanzen beibringst, werde ich dir meine versteckten Narben zeigen.","Wenn du mi dat Dansen lehrst, denn schall ik di mien versteken Noren wiesen."
172,"Käse ist ein festes Nahrungsmittel, das aus der Milch von Kühen, Ziegen, Schafen oder anderen Säugetieren hergestellt wird.","Kees is en fast Nehrmiddel, dat ut de Melk vun Keih, Zegen, Schaap oder anner Söögdeerten maakt warrt."
173,Was ist der Vorteil dieser Technologie?,Wat is de Vördeel vun düsse Technologie?
174,"Wenn Sie nicht über dieses Programm verfügen, können Sie es jetzt herunterladen.","Wenn du dat Programm nich hest, denn kannst du dat nu dalladen."
175,"Die sieben Fragen, die sich ein Ingenieur stellen muss, sind: wer, was, wann, wo, warum, wie und wie viel.","De Söven Fragen, de sik en Inschenör stellen mutt, sünd: wokeen, wat, wannehr, woneem, worüm, woans un woveel."
176,Im Eintritt ist ein Getränk inbegriffen.,Bi ’n Intridd is en Gedränk al mit in.
177,Wie viel Trinkgeld gibt man in Spanien?,Woveel Drinkgeld warrt in Spanien geven?
178,"Schämst du dich nicht, so zu reden?","Schaamst du di nich, so to snacken?"
179,"Das Leben ist keine exakte Wissenschaft, es ist eine Kunst.","Dat Leven is keen exakte Wetenschop, dat is en Kunst."
180,"Für den, der nur einen Hammer im Werkzeugkasten hat, sieht jedes Problem wie ein Nagel aus.","För den, de bloot en Hamer in ’e Warktüügkist hett, seht all Probleems as Nagels ut."
181,Hoffnung ist keine Strategie.,Höpen is keen Strategie.
182,Wem gehört das?,’Keen sien is dat?
183,Das ist nicht seine Sache.,Dat is nich sien Saak.
184,Man sieht ihm sein Alter nicht an.,Man sütt em sien Öller nich an.
185,Das habe ich wirklich nicht von dir erwartet.,Dat heff ik würklich nich vun di verwacht.
186,Ich kenne ihn nicht.,Ik kenn em nich.
187,Das ist nicht wichtig.,Dat is nich wichtig.
188,Ich gehe jeden Morgen einkaufen.,Ik gah elk Morgen inköpen.
189,"Das ist zu schön, um wahr zu sein.",Dat is to goot üm wohr to wesen.
190,Alle Wege führen nach Rom.,All Weeg föhrt na Room.
191,Über Geschmack lässt sich nicht streiten.,Över Smack lett sik nich strieden.
192,Nachts sind alle Katzen grau.,Nachtens sünd all Katten grau.
193,In der Nacht sind alle Katzen grau.,Nachtens sünd all Katten grau.
194,Ich erwarte nichts von dir.,Ik verwacht nix vun di.
195,Das geschieht dir recht.,Dat schütt di recht.
196,Guten Appetit!,Goden Aptiet!
197,"Wenn es nicht wahr ist, so ist es doch gut erfunden.","Wenn dat nich wohr is, denn is dat tominnst goot utdacht."
198,"Wenn man zu viel isst, wird man dick.","Wenn man toveel itt, warrt man dk."
199,"Wenn man zu viel isst, wird man dick.","Wenn een toveel itt, warrt een dk."
200,"Das ist die Stadt, von der ich dir erzählt habe.","Dat is de Stadt, vun de ik di vertellt heff."
201,"Das ist die Stadt, von der ich dir erzählt habe.","Dat is de Stadt, över de ik di vertellt heff."
202,Ich habe Kaviar gegessen.,Ik heff Kaviar eten.
203,Wie viel kostet es?,Wat köst dat?
204,Was kostet das?,Wat köst dat?
205,Hast du ein Trinkgeld dagelassen?,Hest du en Drinkgeld dorlaten?
206,"Sie wissen nicht einmal, wieso.",Se weet nich mal worüm.
207,Du hast dich sehr verändert.,Du hest di temlich verännert.
208,Wir haben es geschafft!,Wi hebbt dat schafft!
209,Möchten Sie eine Tasse Kaffee?,Wult ji en Köpken Kofi?
210,Maria hat lange Haare.,Maria hett lang Hoor.
211,Wer ist dran?,’Keen is an ’e Reeg?
212,Der Film dauerte 2 Stunden.,De Film hett 2 Stünnen duurt.
213,Im Winter schlafe ich mit zwei Decken.,In ’n Winter slaap ik mit twee Deken.
214,Es ist vor langer Zeit passiert.,Dat is vör lang Tied passeert.
215,"Es ist unmöglich, in einem Monat Englisch zu lernen.","Dat geiht nich, in een Maand Engelsch to lehren."
216,Wir haben zwei Töchter.,Wi hebbt twee Döchter.
217,Eisen ist härter als Gold.,Iesen is harter as Gold.
218,Dieses Museum ist einen Besuch wert.,Dit Museum is en Besöök weerd.
219,Dieses Museum ist einen Besuch wert.,Dat Museum is en Besöök weerd.
220,Er hat drei Gläser Wasser getrunken.,He hett dree Glääs Water drunken.
221,Ich fliege nach Amerika.,Ik fleeg na Amerika.
222,Ich habe eine Frau in Schwarz gesehen.,Ik heff en Fro in swart sehn.
223,Seine Frau kommt aus Kalifornien.,Siene Fro kummt ut Kalifornien.
224,Meine Tante hat drei Kinder.,Mien Tante hett dree Kinner.
225,Ich habe das Grab meines Vaters besucht.,Ik heff dat Graff vun mien Vadder besöcht.
226,Krieg ist ein Verbrechen gegen die Menschlichkeit.,Krieg is en Verbreken gegen de Minschheid.
227,Krieg ist ein Verbrechen gegen die Menschheit.,Krieg is en Verbreken gegen de Minschheid.
228,Das ist ein Buch über Sterne.,Dat is en Book över Steerns.
229,Die Polizei verfolgt mich.,De Polizei jaagt mi.
230,Wir mussten lange auf den Bus warten.,Wi müssen lang op ’n Bus töven.
231,Hast du ihm keinen Brief geschrieben?,Hest du em keen Breef schrieven?
232,Kinder brauchen Liebe.,Kinner bruukt Leevd.
233,Ich bin ein Mann.,Ik bün en Mann.
234,Oh! Ich kenne den Mann.,Oh! Ik kenn den Mann.
235,Ich bin ein freier Mann.,Ik bün en free Mann.
236,Der Laden verkauft Zeitungen und Zeitschriften.,De Laden verköfft Daagbläder un Tiedschriften.
237,Wieso weinst du?,Worüm weenst du?
238,Warum weinst du?,Worüm weenst du?
239,Das ist ein Geschenk für dich.,Dat is en Geschenk för di.
240,Ohne Wasser könnte niemand auf der Erde leben.,Ahn Water kunn nüms op de Welt leven.
241,Sprich nicht so laut!,Snack nich so luud!
242,Wird die Sonne morgen scheinen?,Schall de Sünn morgen schienen?
243,Spanier haben zwei Nachnamen.,Spaniers hebbt twee Achternaams.
244,Katzen spielen gerne in der Sonne.,Katten speelt geern in de Sünn.
245,Katzen spielen gerne in der Sonne.,Katten speelt geern in ’e Sünn.
246,Der Junge schmiss einen Stein nach dem Frosch.,De Jung smeet mit en Steen na ’n Pogg.
247,"Weißt du, wer sie ist?","Weetst du, ’keen se is?"
248,"Schlaf gut, Timmy.","Slaap goot, Timmy."
249,"Ich weiß nicht, was ich sagen soll.","Ik weet nich, wat ik seggen schall."
250,Was für ein großer Supermarkt!,Wat för en groten Supermarkt!
251,Was für ein schöner Regenbogen!,Wat för en smucken Regenbagen!
252,Vor meinem Haus ist ein kleiner Garten.,Vör mien Huus is en lütten Gaarn.
253,Schreibst du einen Brief?,Schriffst du en Breef?
254,Sie heiratete ohne Wissen ihrer Eltern.,"Se hebbt freet, ahn dat jemehr Öllern dar vun wüsst hebbt."
255,Er ist vom Baum heruntergefallen.,He is vun ’n Boom dalfullen.
256,Er ist 3 Jahre älter als sie.,He is dree Jahr öller as se.
257,Ich gehe zu Fuß.,Ik gah to Foot.
258,In diesem Herbst gibt es viele Taifune.,Dissen Harvst gifft dat veel Taifuuns.
259,Ken ist in Kyoto angekommen.,Ken is in Kyoto ankamen.
260,Schreiben Sie gerade einen Brief?,Schriffst du jüst en Breef?
261,Die Bäume sind grün.,De Bööm sünd gröön.
262,In der Küche ist eine Katze.,In ’e Köök is en Katt.
263,Opa hat es mir gekauft!,Opa hett mi dat köfft!
264,"„Weine nicht“, sagte sie.","„Ween nich“, seed se."
265,Ich höre Musik.,Ik höör Musik.
266,Er hat mir einen langen Brief geschrieben.,He hett mi en langen Breef schrieven.
267,Bist du Student?,Büs du n Student?
268,Ich habe all das Geld ausgegeben.,Ik heff allens Geld utgeven.
269,Das ist meine Meinung.,Dat is mien Verscheel.
270,Ich wurde von der Katze gekratzt.,De Katt hett mi kratzt.
271,"Stimmt es, dass Midori so gut Geige spielt?","Isset wohr, dat Midori so goot Vigelien speelt?"
272,Paris ist die Hauptstadt von Frankreich.,Paris is de Höövdstad vun Frankriek.
273,Paris ist die Hauptstadt Frankreichs.,Paris is de Höövdstad vun Frankriek.
274,Gestern habe ich ihm geholfen.,Güstern heff ik em hulpen.
275,Ich habe Tony geholfen.,Ik heff Tony hulpen.
276,Wir haben jede Menge Nahrungsmittel.,Wi hebbt en Barg to Eten.
277,"Als ich klein war, trug ich nur Hosen.","As ik lütt weer, heff ik Büx dregen."
278,"Ruf mich an, sobald du ihn getroffen hast.","Roop mi an, wenn du em drapen hest."
279,Er sucht eine bessere Arbeit.,He söcht en betere Arbeit.
280,Hinter meinem Haus ist eine Kirche.,Achter mien Huus is en Kark.
281,Morgen ist Weihnachten.,Morgen is Wiehnachten.
282,Ich hätte gern eine Tasse Kaffee.,Ik harr geern en Tass Kaffe.
283,"Diese Gitarre ist so teuer, dass ich sie nicht kaufen kann.","Disse Gitarr is so düer, dat ik ehr nich köpen kann."
284,"Er sagte, dass er müde sei und deshalb früher nach Hause gehen würde.","He see, dat he mööd weer un vundeswegen fröher na Huus gahn wörr."
285,Warum muss ich das tun?,Worüm mutt ik dat doon?
286,Gute Frage.,Gode Fraag.
287,Lass uns zurückgehen.,Laat uns trügggahn.
288,Es ist brandneu.,Dat is splinternee.
289,Es ist brandneu.,Dat is gloodnee.
290,"Es tut mir leid. Ich nehme zurück, was ich gesagt habe.","Dat deit mi leed. Ik nehm trügg, wat ik seggt heff."
291,Beantworte die Frage.,Anter de Fraag.
292,Ich habe eine Frage.,Ik heff en Fraag.
293,Es ist heute heiß.,Dat is heet vondaag.
294,Heute ist es heiß.,Dat is heet vondaag.
295,Es ist warm heute.,Dat is heet vondaag.
296,Es ist heute warm.,Dat is heet vondaag.
297,Ich werde dir die Stadt zeigen.,Ik will di de Stadt wiesen.
298,Ich werde dir die Stadt zeigen.,Ik warr di de Stadt wiesen.
299,Ich gehe nicht dorthin zurück.,Ik gah dar nich hen trügg.
300,Schalte das Licht aus. Ich kann nicht einschlafen.,Do dat Licht ut. Ik kann nich slapen.
301,Er lachte.,He lach.
302,Ich habe nicht viel Geld.,Ik heff nich veel Geld.
303,Glas zerbricht leicht.,Glas brkt licht.
304,Ich esse gern Äpfel.,Ik eet geern Appels.
305,Ich bin ein Läufer.,Ik bün en Löper.
306,Er spricht wirklich gut.,He snackt würklich goot.
307,"Ich bin so müde, dass ich kaum gehen kann.","Ik bün so mööd, dat ik kuum lopen kann."
308,Es gibt nur einen Laden auf der ganzen Insel.,Dat gifft man een Laden op ’t ganze Eiland.
309,Du musst die Frage beantworten.,Du musst op de Fraag antern.
310,Ich kann nicht länger warten.,Ik kann nich länger töven.
311,Ich habe nur einen kleinen Garten.,Ik heff bloot en lütten Gaarn.
312,Die Schweiz ist ein neutrales Land.,De Swiez is en neetraal Land.
313,Bill war in Japan.,Bill weer in Japan.
314,Französisch wird in Frankreich gesprochen.,Franzöösch warrt in Frankriek snackt.
315,Die Christen glauben an Jesus Christus.,De Christen glöövt an Jesus Christus.
316,Meine Lieblingsfarbe ist Rot.,Mien leevste Klöör is Rood.
317,Deutsch ist keine einfache Sprache.,Düütsch is keen licht Spraak.
318,Deutsch ist keine leichte Sprache.,Düütsch is keen licht Spraak.
319,Niederländisch ist eng verwandt mit Deutsch.,Nedderländsk is naig vöwant an Düütsk.
320,"Spricht er Englisch, Französisch oder Deutsch?","Snackt he Engelsch, Franzöösch oder Düütsch?"
321,Susan ist vor einer Stunde gegangen.,Susan is vör een Stünn gahn.
322,Ich bin frei.,Ik bün free.
323,Diese Zeitung ist kostenlos.,Dit Blatt köst nix.
324,Diese Zeitung gibt es gratis.,Dit Blatt köst nix.
325,Unser Zug hielt plötzlich an.,Uns Tog höll opmaal an.
326,Du hast kein Herz.,Du hest keen Hart.
327,Sein Herz ist gebrochen.,Sien Hart is braken.
328,Wir haben in Zeichensprache gesprochen.,Wi hebbt in Tekenspraak snackt.
329,Gute Reise!,Gode Reis!
330,Sie plant eine Reise.,Se plaant en Reis.
331,Wer hat dieses Buch geschrieben?,’Keen hett dit Book schrieven?
332,Wo ist das Buch?,Woneem is dat Book?
333,Echte Freundschaft ist mehr wert als Geld.,Echte Fründschop is mehr weerd as Geld.
334,Trockener Sand absorbiert Wasser.,Drögen Sand nimmt Water op.
335,Dieses Wasser schmeckt gut.,Dit Water smeckt goot.
336,Der Sommer ist vorbei.,De Sommer is vörbi.
337,Der Sommer ist zu Ende.,De Sommer is vörbi.
338,Wer ist diese Frau?,’Keen is düsse Fro?
339,Diese Frau hat zwei Taschen.,Disse Fro hett twee Taschen.
340,Diese Theorie besteht aus drei Teilen.,Disse Theorie hett dree Delen.
341,"Immer, wenn sie sich treffen, streiten sie sich.","Jümmer wenn se tohoop kaamt, striedt se sik."
342,Du solltest mehr Obst essen.,Du schusst mehr Aavt eten.
343,Trink weniger und schlaf mehr.,Suup nich so veel un slaap mehr.
344,Ich habe immer weniger Zeit zum Lesen.,Ik heff ümmer weniger Tied to ’n Lesen.
345,Ich bin hier gerade angekommen.,Ik bün jüst hier ankamen.
346,"Außer Karotten gibt es nichts, was er nicht isst.","Buten de Worteln gifft dat nix, wat he nich itt."
347,Gott schuf die Welt.,Godd hett de Welt schapen.
348,Gott hat die Welt erschaffen.,Godd hett de Welt schapen.
349,Du solltest nicht ungeduldig mit Kindern sein.,Du schusst nich ungedüllig mit Kinner wesen.
350,"Wenn ich davon gewusst hätte, hätte ich’s dir erzählt.","Wenn ik dar vun weten harr, denn harr ik di dat vertellt."
351,"Ich denke, also bin ich.","Ik denken, dorvon bün ik."
352,Ein Tiger ist größer und stärker als eine Katze.,En Tiger is grötter un stärker as en Katt.
353,Tiger sind größer und stärker als Katzen.,En Tiger is grötter un stärker as en Katt.
354,Wann kommen wir an?,Wannehr kaamt wi an?
355,Ich habe ihn nie singen gehört.,Ik heff em nie singen höört.
356,Ich habe sie noch nie zuvor gesehen.,Ik heff ehr noch nie vörher sehn.
357,Mayukos Traum wurde wahr.,Mayuko ehr Droom is wohr worrn.
358,"Es ist mein Traum, einen Nobelpreis zu gewinnen.","Dat is mien Droom, en Nobelpries to winnen."
359,Sie ist ein blondes Mädchen.,Se is en Flasskopp.
360,Der Kuchen schmeckt süß.,De Koken smeckt sööt.
361,Der Apfel schmeckt süß.,De Appel smeckt sööt.
362,Dieser Apfel schmeckt sauer.,Disse Appel smeckt suer.
363,Wer hat den Apfel gestohlen?,’Keen hett den Appel stahlen?
364,Wie häufig fütterst du die Fische?,Wo faken foderst du de Fisch?
365,Wie oft fütterst du die Fische?,Wo faken foderst du de Fisch?
366,Ist eine Katze unter dem Tisch?,Is dar en Katt ünner ’n Disch?
367,Öl und Wasser mischen sich nicht.,Ööl un Water mengt sik nich.
368,Ich kann nur warten.,Ik kann bloot töven.
369,Jessie kocht Wasser um Kaffee zu machen.,Jessie kaakt Water üm Kaffe to maken.
370,Möchtest du noch eine Tasse Kaffee trinken?,Wullt du noch en Tass Kaffe drinken?
371,Ist das dein Zimmer?,Is dat dien Kamer?
372,Einzel- oder Doppelzimmer?,Enkelt- oder Dubbeltkamer?
